,City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
368,rocha,UY,67.87,55,62,18.16,-34.4833,-54.3333,1666890206
369,waipawa,NZ,50.38,85,99,6.24,-41.4122,175.5153,1666890297
370,krasnoselkup,RU,19.44,90,100,18.23,65.7,82.4667,1666890298
371,road town,VG,84.24,84,40,12.66,18.4167,-64.6167,1666890169
372,zeerust,ZA,70.36,67,65,7.92,-25.5369,26.0751,1666890298
373,zelenoborskiy,RU,30.16,90,46,3.71,66.845,32.3622,1666890299
374,namangan,UZ,52.25,71,17,4.61,40.9983,71.6726,1666890300
375,jiuquan,CN,42.28,47,98,2.73,39.7432,98.5174,1666890300
376,mayahi,NE,87.21,13,1,8.63,13.9553,7.6712,1666890301
377,petropavlovsk-kamchatskiy,RU,34.79,81,100,12.01,53.0452,158.6483,1666890069
378,la ronge,CA,41.9,50,100,13.35,55.1001,-105.2842,1666890301
379,soyo,AO,79.43,82,53,8.59,-6.1349,12.3689,1666890264
380,tolaga bay,NZ,52.75,81,46,4.29,-38.3667,178.3,1666890302
381,maun,BW,82.38,36,72,5.08,-19.9833,23.4167,1666890302
382,severo-yeniseyskiy,RU,26.37,90,100,2.84,60.3725,93.0408,1666890304
383,dolores,AR,77.85,29,6,14.85,-36.3132,-57.6792,1666890305
384,badnawar,IN,71.8,43,0,4.45,23.0167,75.2167,1666890305
385,pisco,PE,63.01,77,100,6.91,-13.7,-76.2167,1666890306
386,baillif,GP,85.64,73,94,18.59,16.0202,-61.7463,1666890306
387,grindavik,IS,41.47,81,20,6.91,63.8424,-22.4338,1666890307
388,san isidro,PE,75.02,63,100,5.75,-12.1167,-77.05,1666890307
389,ahuimanu,US,77.61,80,40,1.99,21.4447,-157.8378,1666890307
390,goba,ET,51.42,95,99,2.57,7.0167,39.9833,1666890308
391,lagos,NG,82.08,79,98,6.38,6.5833,3.75,1666890236
392,foeni,RO,53.94,78,4,5.1,47.7,22.3833,1666890308
393,mutoko,ZW,81.7,25,40,11.9,-17.397,32.2268,1666890309
394,finschhafen,PG,78.76,73,77,3.89,-6.6024,147.8681,1666890309
395,dingle,PH,77.07,92,100,6.38,10.9995,122.6711,1666890310
396,santa cruz,BO,76.46,78,100,11.5,-17.8,-63.1667,1666890077
397,bilibino,RU,-13.58,100,100,1.68,68.0546,166.4372,1666890310
398,karakol,KG,38.28,53,22,4.03,42.4907,78.3936,1666890311
399,ust-omchug,RU,-4.52,96,37,1.21,61.15,149.6333,1666890210
400,westport,US,66.02,52,14,14.0,41.1415,-73.3579,1666890086
401,xuanzhou,CN,59.81,92,100,11.63,30.9525,118.7553,1666890312
402,evans,US,71.01,52,0,10.36,33.5337,-82.1307,1666890213
403,saldanha,ZA,61.0,77,25,25.64,-33.0117,17.9442,1666890312
404,pulandian,CN,42.33,53,0,8.37,39.3953,121.9669,1666890313
405,masvingo,ZW,69.28,72,95,13.62,-20.0637,30.8277,1666890313
406,los llanos de aridane,ES,76.12,77,20,3.44,28.6585,-17.9182,1666890313
407,slave lake,CA,51.73,31,83,15.61,55.2834,-114.769,1666890314
408,haines junction,CA,21.33,90,100,3.69,60.7522,-137.5108,1666890315
409,urbino,IT,62.2,89,95,2.42,43.7298,12.6356,1666890315
410,porto velho,BR,89.65,58,40,6.91,-8.7619,-63.9039,1666890293
411,skole,UA,49.64,90,4,3.15,49.0372,23.5135,1666890316
412,ajaccio,FR,66.18,78,0,2.3,42.0,8.9167,1666890316
413,gornopravdinsk,RU,26.83,75,32,8.97,60.05,69.9,1666890316
414,elizabethtown,US,56.77,59,0,10.36,37.694,-85.8591,1666890078
415,sinop,TR,48.9,89,6,2.95,41.7711,34.8709,1666890317
416,messina,IT,73.6,56,12,10.36,38.1933,15.5497,1666890318
417,maniitsoq,GL,36.1,97,100,26.11,65.4167,-52.9,1666890318
418,muroto,JP,65.64,65,82,9.71,33.2833,134.15,1666890318
419,aksu,CN,52.25,33,2,6.98,41.1231,80.2644,1666890319
420,kungurtug,RU,27.28,76,30,1.68,50.5994,97.5228,1666890320
421,buraydah,SA,81.36,14,100,8.19,26.326,43.975,1666890321
422,leshukonskoye,RU,30.58,99,99,3.78,64.8989,45.7622,1666890322
423,acari,PE,77.65,45,26,10.87,-15.4311,-74.6158,1666890322
424,malanje,AO,76.42,58,82,3.33,-9.5402,16.341,1666890324
425,atar,MR,95.5,7,100,10.33,20.5169,-13.0499,1666890324
426,alice springs,AU,69.35,43,58,6.91,-23.7,133.8833,1666890325
427,taoudenni,ML,95.36,10,0,11.59,22.6783,-3.9836,1666890326
428,oskaloosa,US,55.72,71,0,13.8,41.2964,-92.6444,1666890326
429,salacgriva,LV,53.28,88,100,13.49,57.7536,24.3581,1666890327
430,salalah,OM,80.69,57,0,4.61,17.0151,54.0924,1666890328
431,villiers,ZA,64.87,68,100,4.92,-27.0303,28.6006,1666890328
432,sola,VU,79.41,76,0,3.87,-13.8833,167.55,1666890082
433,caceres,ES,72.16,50,97,8.5,39.522,-6.3748,1666890329
434,padre bernardo,BR,92.34,25,71,4.36,-15.35,-48.5,1666890329
435,warrington,GB,62.98,87,75,11.5,53.3925,-2.5802,1666890191
436,geraldton,AU,55.81,82,40,5.75,-28.7667,114.6,1666890331
437,egvekinot,RU,6.55,82,72,7.02,66.3167,-179.1667,1666890331
438,barstow,US,59.99,15,0,10.36,34.8986,-117.0228,1666890133
439,isla vista,US,71.29,76,0,4.61,34.4133,-119.861,1666890270
440,sumenep,ID,77.54,85,81,3.62,-7.0167,113.8667,1666890332
441,okhotsk,RU,19.45,66,10,12.17,59.3833,143.3,1666890332
442,carballo,ES,71.29,84,88,13.56,43.213,-8.691,1666890333
443,takayama,JP,38.37,85,17,1.01,36.1333,137.25,1666890334
444,illapel,CL,77.27,37,24,9.1,-31.6308,-71.1653,1666890201
445,guozhen,CN,55.67,77,100,2.64,34.3659,107.359,1666890334
446,selikhino,RU,30.52,75,1,7.02,50.3672,137.4996,1666890335
447,hobyo,SO,80.38,77,9,10.2,5.3505,48.5268,1666890335
448,shakhtinsk,KZ,27.39,89,97,9.86,49.71,72.5872,1666890336
449,kruisfontein,ZA,66.88,81,65,16.98,-34.0033,24.7314,1666890336
450,lasa,IT,54.36,58,8,1.9,46.6166,10.7002,1666890336
451,iskateley,RU,18.91,91,57,5.73,67.6803,53.1512,1666890337
452,agirish,RU,30.4,80,93,13.82,61.9247,63.0231,1666890337
453,oktyabrskiy,RU,29.32,74,92,5.03,54.4815,53.471,1666890338
454,fare,PF,78.08,70,97,4.47,-16.7,-151.0167,1666890338
455,makakilo city,US,76.44,76,20,4.61,21.3469,-158.0858,1666890339
456,lufilufi,WS,74.98,80,98,8.14,-13.8745,-171.5986,1666890340
457,marabba,SD,90.28,26,58,7.99,12.35,32.1833,1666890340
458,miles city,US,43.77,65,0,8.05,46.4083,-105.8406,1666890313
459,kurilsk,RU,43.9,73,19,3.24,45.2333,147.8833,1666890341
460,elizabeth city,US,69.82,65,0,12.66,36.2946,-76.2511,1666890341
461,sukhobuzimskoye,RU,35.62,66,100,3.42,56.5,93.2728,1666890341
462,thaba-tseka,LS,60.21,48,73,5.3,-29.522,28.6084,1666890342
463,pachino,IT,71.37,64,10,1.95,36.7186,15.0907,1666890342
464,ubinskoye,RU,29.86,96,100,15.61,55.3068,79.6802,1666890342
465,constantine,DZ,76.41,23,0,5.75,36.365,6.6147,1666890343
466,zyryanka,RU,0.48,87,48,10.18,65.75,150.85,1666890344
467,kapoeta,SS,83.34,43,98,5.64,4.7717,33.5903,1666890344
468,jibuti,DJ,77.13,57,0,14.09,11.5,42.5,1666890344
469,bonavista,CA,58.53,86,98,10.96,48.6499,-53.1147,1666890345
470,pimentel,PE,70.09,64,0,13.8,-6.8367,-79.9342,1666890345
471,madison,US,64.81,61,0,13.42,34.7334,-86.5667,1666890346
472,minab,IR,83.39,60,48,4.27,27.1467,57.0801,1666890347
473,oranjemund,NA,59.97,90,19,14.52,-28.55,16.4333,1666890347
474,motala,SE,55.15,77,86,8.01,58.5371,15.0365,1666890348
475,zhigansk,RU,5.11,97,38,5.88,66.7697,123.3711,1666890348
476,kangasala,FI,48.47,100,100,8.34,61.4638,24.076,1666890349
477,bucksport,US,66.11,70,45,8.01,44.5737,-68.7956,1666890349
478,tabou,CI,80.94,77,89,8.28,4.423,-7.3528,1666890350
479,lipetsk,RU,35.4,99,100,6.29,52.6031,39.5708,1666890097
480,ilmajoki,FI,46.96,100,100,6.91,62.7333,22.5667,1666890350
481,rexburg,US,32.43,78,100,9.22,43.826,-111.7897,1666890351
482,bagdarin,RU,20.39,68,4,0.87,54.4333,113.6,1666890351
483,nouadhibou,MR,72.23,75,98,17.11,20.931,-17.0347,1666890351
484,richards bay,ZA,72.16,79,73,14.27,-28.783,32.0377,1666890353
485,butig,PH,69.66,99,100,4.14,7.7244,124.3008,1666890353
486,saint george,US,53.8,28,0,9.22,37.1041,-113.5841,1666890353
487,motygino,RU,32.41,63,100,1.95,58.1831,94.7592,1666890354
488,semporna,MY,77.49,90,100,4.16,4.4818,118.6112,1666890354
489,palmer,US,65.25,51,27,5.01,42.1584,-72.3287,1666890222
490,santiago,CL,86.29,34,0,9.22,-33.4569,-70.6483,1666890143
491,kota bahru,MY,78.21,87,100,4.81,6.1333,102.2386,1666890355
492,sioux lookout,CA,42.73,50,90,9.04,50.1001,-91.917,1666890355
493,pilar,BR,82.33,65,99,8.72,-9.5972,-35.9567,1666890096
494,valdivia,CL,58.1,62,100,9.55,-39.8142,-73.2459,1666890128
495,uige,AO,73.94,79,77,3.83,-7.6087,15.0613,1666890356
496,flin flon,CA,36.0,76,100,10.16,54.7682,-101.865,1666890357
497,bira,RU,34.61,87,83,3.04,49.0,132.4667,1666890358
498,valparaiso,CL,68.23,80,0,12.66,-33.0393,-71.6273,1666890358
499,vostok,RU,31.41,97,100,2.71,46.4856,135.8833,1666890359
500,freeport,US,66.29,52,0,14.97,40.6576,-73.5832,1666890359
501,igarka,RU,22.1,92,100,15.82,67.4667,86.5833,1666890359
502,wake forest,US,66.07,65,100,10.36,35.9799,-78.5097,1666890360
503,hualmay,PE,67.84,66,11,11.41,-11.0964,-77.6139,1666890360
504,jumla,NP,44.04,85,1,3.89,29.2747,82.1838,1666890362
505,beruwala,LK,77.56,81,46,3.67,6.4788,79.9828,1666890362
506,arbroath,GB,57.25,92,100,4.25,56.5632,-2.5874,1666890174
507,huarmey,PE,68.43,69,11,10.89,-10.0681,-78.1522,1666890363
508,kailua,US,77.9,82,100,1.99,21.4022,-157.7394,1666890363
509,arlit,NE,85.15,12,0,18.72,18.7369,7.3853,1666890363
510,cabedelo,BR,86.67,65,48,13.87,-6.9811,-34.8339,1666890364
511,tomar do geru,BR,80.98,61,100,9.98,-11.3733,-37.8406,1666890364
512,nogliki,RU,30.52,71,4,6.58,51.8333,143.1667,1666890365
513,whitianga,NZ,57.22,87,83,2.37,-36.8333,175.7,1666890366
514,anaconda,US,34.79,60,88,7.87,46.1285,-112.9423,1666890366
515,am timan,TD,82.29,31,6,4.05,11.0297,20.2827,1666890367
516,chuka,KE,68.9,68,58,1.59,-0.3332,37.6459,1666890368
517,kudahuvadhoo,MV,81.55,80,22,12.46,2.6708,72.8944,1666890369
518,foki,RU,29.7,73,95,8.41,56.693,54.3499,1666890369
519,boyabat,TR,53.89,77,50,4.07,41.4689,34.7667,1666890370
520,sept-iles,CA,52.32,98,100,14.0,50.2001,-66.3821,1666890373
521,ballina,AU,68.02,92,0,7.16,-28.8667,153.5667,1666890324
522,kalangala,UG,75.54,68,49,6.46,-0.3089,32.225,1666890374
523,athabasca,CA,48.79,32,100,17.56,54.7169,-113.2854,1666890359
524,morgan city,US,75.0,56,0,4.61,29.6994,-91.2068,1666890341
525,ganzhou,CN,61.18,82,100,4.41,28.8184,115.4327,1666890375
526,salsomaggiore terme,IT,66.49,81,4,0.67,44.8148,9.9796,1666890376
527,medford,US,43.25,91,100,4.61,42.3265,-122.8756,1666890376
528,mbanza-ngungu,CD,75.99,77,96,3.94,-5.25,14.8667,1666890377
529,nago,JP,72.03,66,55,11.61,26.5881,127.9761,1666890377
530,sidney,AU,62.35,62,0,19.57,-33.8679,151.2073,1666890224
531,biankouma,CI,81.32,69,83,2.95,7.7391,-7.6138,1666890378
532,lorengau,PG,81.63,79,84,5.61,-2.0226,147.2712,1666890082
533,razole,IN,74.14,79,4,4.18,16.4833,81.8333,1666890378
534,cochrane,CA,43.9,52,100,12.95,51.1834,-114.4687,1666890379
535,wanning,CN,74.14,81,79,5.79,18.8003,110.3967,1666890379
536,mossendjo,CG,74.66,85,100,1.45,-2.9506,12.7261,1666890379
537,arai,JP,47.93,75,12,5.82,37.0167,138.25,1666890380
538,the pas,CA,36.75,84,100,10.42,53.8251,-101.2541,1666890380
539,lavrentiya,RU,21.94,75,58,8.9,65.5833,-171.0,1666890381
540,ulaanbaatar,MN,17.73,79,0,2.24,47.9077,106.8832,1666890293
541,aranda de duero,ES,72.09,29,100,15.77,41.6704,-3.6892,1666890381
542,mogadishu,SO,78.6,83,24,11.77,2.0371,45.3438,1666890382
543,ampanihy,MG,73.65,68,41,10.33,-24.7,44.75,1666890383
544,ambikapur,IN,62.65,59,0,1.39,23.1167,83.2,1666890383
545,sambava,MG,72.21,86,76,6.85,-14.2667,50.1667,1666890384
546,champasak,LA,72.5,97,100,0.78,14.75,106.0,1666890384
547,sabang,ID,81.63,79,99,14.18,5.8933,95.3214,1666890385
548,mitsamiouli,KM,76.8,79,100,9.01,-11.3847,43.2844,1666890385
549,logstor,DK,57.81,95,100,9.93,56.9624,9.2583,1666890386
550,nagai,JP,43.88,77,62,1.83,38.1036,140.035,1666890386
551,madras,IN,82.38,83,75,4.61,13.0878,80.2785,1666890387
552,tazovskiy,RU,22.64,90,100,17.22,67.4667,78.7,1666890387
553,vanavara,RU,25.23,83,99,2.44,60.34,102.2797,1666890388
554,black diamond,US,54.79,72,99,7.0,47.3087,-122.0032,1666890389
555,robertsport,LR,82.24,74,96,6.35,6.7533,-11.3686,1666890389
556,kendari,ID,75.74,93,100,4.38,-3.945,122.4989,1666890390
557,samarai,PG,81.01,71,36,9.04,-10.6167,150.6667,1666890390
558,rocky mountain house,CA,48.31,31,99,12.19,52.3668,-114.9188,1666890390
559,santa maria,BR,79.02,38,0,11.68,-29.6842,-53.8069,1666890330
560,coolum beach,AU,73.11,84,0,7.58,-26.5333,153.1,1666890391
561,bjornevatn,NO,26.94,93,0,3.44,69.6672,29.9847,1666890391
562,kununurra,AU,82.38,78,40,6.91,-15.7667,128.7333,1666890321
563,acarau,BR,87.37,56,24,20.13,-2.8856,-40.12,1666890392
564,galle,LK,77.81,82,17,3.71,6.0367,80.217,1666890392
565,paragould,US,59.86,60,0,1.01,36.0584,-90.4973,1666890336
566,tooele,US,40.14,70,100,4.61,40.5308,-112.2983,1666890370
567,hay river,CA,35.78,85,98,8.86,60.8156,-115.7999,1666890393
568,progreso,MX,87.12,60,21,5.08,21.2833,-89.6667,1666890393
569,ukiah,US,61.05,61,93,1.36,39.1502,-123.2078,1666890394
570,yeppoon,AU,71.38,88,20,3.18,-23.1333,150.7333,1666890394
571,xining,CN,46.62,76,91,1.57,36.6167,101.7667,1666890394
572,bikaner,IN,81.12,26,0,6.15,28.0167,73.3,1666890396
573,meybod,IR,72.05,26,93,8.1,32.2501,54.0166,1666890396
574,kargasok,RU,25.61,78,100,10.85,59.0556,80.8572,1666890397
575,seoul,KR,47.64,59,0,2.37,37.5683,126.9778,1666890397
576,uyuni,BO,60.44,5,0,16.93,-20.4597,-66.825,1666890397
577,russell,US,71.4,53,0,5.75,32.3502,-85.1999,1666890398
578,evensk,RU,10.56,74,47,7.34,61.95,159.2333,1666890398
579,chara,RU,19.94,67,32,1.83,56.9064,118.2631,1666890398
580,vuktyl,RU,31.44,97,100,9.91,63.8567,57.3094,1666890399
581,tenjo,CO,64.13,68,75,11.5,4.8727,-74.1443,1666890399
582,newport,GB,64.11,82,92,10.2,51.5877,-2.9984,1666890399
583,kiruna,SE,25.72,100,100,2.3,67.8557,20.2251,1666890400
584,mudgee,AU,51.62,96,0,3.53,-32.5943,149.5871,1666890400
585,astoria,US,55.85,75,0,9.22,46.1879,-123.8313,1666890376
586,christchurch,NZ,53.91,93,100,13.8,-43.5333,172.6333,1666890400
587,zapotiltic,MX,71.64,54,14,2.37,19.6167,-103.4333,1666890401
588,durban,ZA,73.6,84,55,13.69,-29.8579,31.0292,1666890299
589,paamiut,GL,37.81,88,100,10.63,61.994,-49.6678,1666890197
590,borodino,RU,35.49,57,100,4.05,55.9106,94.8983,1666890401
591,shenjiamen,CN,66.4,78,100,19.55,29.9576,122.298,1666890402
592,zhumadian,CN,60.12,79,100,6.11,32.9794,114.0294,1666890404
593,isabela,PH,78.66,89,100,13.71,6.7085,121.9711,1666890405
594,najran,SA,69.76,20,4,6.26,17.4924,44.1277,1666890405
595,springfield,US,58.86,53,0,18.41,37.2153,-93.2982,1666890241
596,sturgis,US,49.8,53,0,4.61,41.7992,-85.4192,1666890405
597,emerald,AU,77.07,62,7,4.61,-23.5333,148.1667,1666890406
598,mezen,RU,29.57,93,85,2.66,65.8522,44.24,1666890406
599,huangchuan,CN,60.12,84,100,7.61,32.1272,115.0394,1666890406
600,scarborough,GB,60.37,90,96,5.99,54.2797,-0.4044,1666890266
601,sorsk,RU,33.24,54,100,3.42,54.0033,90.2467,1666890407
